   AE &   UC  &    BFD &     STU &  ccECP.S & ccECP  
    -0.648824 &  0.003846 &  0.138580 &  0.038570 &     0.003500 &  -0.016155 
     0.404998 &  0.008382 &  0.146827 &  0.029158 &     0.000131 &  -0.023466 
     3.290224 &  0.013495 &  0.245172 &  0.082758 &     0.001712 &  -0.034718 
     8.285103 &  0.004751 & -0.004194 &  0.008731 &    -0.007956 &  -0.008872 
     7.852169 &  0.016852 &  0.154921 &  0.060521 &     0.007556 &  -0.009844 
    24.959596 &  0.014340 &  0.012356 &  0.096283 &     0.010968 &   0.025093 
    58.474931 & -0.000315 & -0.137538 &  0.215407 &     0.000966 &   0.046106 
   109.967312 & -0.035818 & -0.288764 &  0.449440 &    -0.020260 &   0.060850 
   189.676472 & -0.096964 & -0.229092 &  0.878645 &    -0.018478 &   0.039972 
   292.523396 & -0.190846 & -0.217323 &  1.539629 &     0.001712 &   0.065744 
   421.774512 & -0.312948 & -0.383028 &  2.475055 &     0.017756 &   0.147333 
   579.286933 & -0.467425 & -0.905317 &  3.738709 &     0.010326 &   0.320405 
   765.100530 & -0.673798 & -1.957082 &  5.417765 &    -0.013019 &   0.669746 
