          AE &        UC &       BFD &      STU &  ccECP.S & ccECP  
   -1.209029 &  0.005065 &  0.146336 &   0.013536 &   -0.003339 &          0.001113 
   -0.039999 &  0.010094 &  0.154368 &  -0.007817 &   -0.003776 &         -0.001282 
    1.665329 &  0.014848 &  0.258005 &   0.022213 &   -0.004163 &          0.000602 
    8.678287 &  0.004880 & -0.004271 &  -0.026728 &    0.001234 &         -0.001885 
    7.580538 &  0.017010 &  0.152086 &  -0.041737 &    0.002174 &          0.010708 
   25.813278 &  0.013459 & -0.005649 &  -0.039091 &    0.014570 &          0.025056 
   61.040014 & -0.000243 & -0.144218 &   0.100049 &    0.016374 &          0.021199 
  116.199196 & -0.026699 & -0.226084 &   0.435981 &    0.004456 &         -0.000779 
  192.239024 & -0.075327 & -0.281178 &   1.016989 &   -0.018535 &         -0.024997 
  300.110087 & -0.148578 & -0.080333 &   2.014774 &   -0.012141 &         -0.012790 
  433.615540 & -0.256215 &  0.003373 &   3.416095 &    0.010293 &          0.063863 
  596.091441 & -0.391620 & -0.212840 &   5.276018 &    0.023892 &          0.204793 
  789.334381 & -0.559135 & -0.961215 &   7.649629 &    0.010737 &          0.423571 
 1013.195350 & -0.779566 & -2.452519 &  10.611841 &   -0.013917 &          0.773053 
